x,y,z
0.8700483505017361,1.3529159105091866,1.048124662258024
1.3457463590703775,1.4894612058227175,1.1953146872929288
1.1800870784731354,1.8574491457491606,1.096029966938167
2.5013991775848137,1.8632362707578667,2.123712858276968
2.738561225607949,2.0879182875744093,1.7752004253191758
2.874765095620334,2.2948456618320616,2.213687947208051
4.099313807819287,2.7524417959785143,2.0404877995515673
4.048999637844091,2.9095050196535635,2.2374291629345215
4.515781267183327,2.8170573993670263,2.4474484726890764
4.759700397235804,2.42789335524502,2.927247588501619
5.971712341087775,2.4546272370354374,3.137296686876101
6.185241104957637,3.2607596519629656,1.9286582968164523
7.026735947820244,3.0942602234491785,2.374808310164834
7.658350579279395,3.1682053825245307,3.1620919950905506
8.157185406327002,3.299157496113989,3.2834346927959697
8.057120710148158,3.326254487070737,3.0713295113340546
8.737107151932484,3.4149307677252647,2.6124894920254453
9.8948208456864,3.230503523716774,3.5303182749951265
9.632737598375565,3.1963938347860434,3.028353231931552
10.651058010917522,3.757210722412939,2.8640798220596233
